lon,lat,City,State,Date,Attendance,Movement,Cause,Description
-81.6332812,38.3505995,Charleston,WV,2018-02-17,12000,Workers & Labor Rights,General Awareness,Rallying for state workers
-73.356691165361,40.74123595,New York,NY,2018-02-24,10000,Workers & Labor Rights,General Awareness,Rallying for worker's rights
-92.4343035,31.3224044,Pineville,LA,2018-02-03,5600,U.S. Politics,Health Care,March against abortion
-84.2809332,30.4380832,Tallahassee,FL,2018-02-21,5000,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-81.6332812,38.3505995,Charleston,WV,2018-02-22,5000,U.S. Politics,Education,Rallying for better pay and benefits for teachers
-74.3148713,40.7959335,Livingston,NJ,2018-02-25,2100,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-73.754968,42.6511674,Albany,NY,2018-02-03,2000,Other,Disaster Relief,Rallying for aid to Puerto Rico
-77.615214,43.157285,Rochester,NY,2018-02-03,2000,Other,Disaster Relief,Rallying for aid to Puerto Rico
-76.1474244,43.0481221,Syracuse,NY,2018-02-03,2000,Other,Disaster Relief,Rallying for aid to Puerto Rico
-78.6390989,35.7803977,Raleigh,NC,2018-02-10,2000,Racial Justice,Anti-Racism,Rallying for racial equality; Social Justice March
-97.5170536,35.4729886,Oklahoma City,OK,2018-02-12,2000,U.S. Politics,Education,Rally for teacher pay raise bill
-80.23727,26.3100794,Parkland,FL,2018-02-15,2000,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-80.1433786,26.1223084,Fort Lauderdale,FL,2018-02-17,2000,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-82.6469934,27.77330515,St. Petersburg,FL,2018-02-17,2000,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-122.4788602,48.754402,Bellingham,WA,2018-02-21,2000,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-80.2653420379876,26.26485615,Coral Springs,FL,2018-02-21,2000,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-77.0141419981481,38.78343595,National Harbor,MD,2018-02-22,2000,U.S. Politics,Politician Support,Vice President Pence rallies for GOP legislative control
-83.0007065,39.9622601,Columbus,OH,2018-02-24,2000,Workers & Labor Rights,General Awareness,Rallying for worker's rights
-84.5553805,42.7337712,Lansing,MI,2018-02-25,2000,U.S. Politics,Anti-Budget Cuts,Protesting GOP tax plan;
-81.6332812,38.3505995,Charleston,WV,2018-02-26,2000,Workers & Labor Rights,General Awareness,Labor protest
-78.7811925,35.7882973,Cary,NC,2018-02-28,2000,U.S. Politics,Gun Control,against gun violence; pro-gun control
-90.0516285,35.1490215,Memphis,TN,2018-02-12,1500,Workers & Labor Rights,Living Wages,Rallying for higher minimum wage
-95.3676974,29.7589382,Houston,TX,2018-02-17,1500,U.S. Politics,Health Care,Rallying for suicide prevention
-95.504686,30.1734194,Woodlands,TX,2018-02-17,1500,U.S. Politics,Health Care,Rallying for suicide prevention
-84.3901849,33.7490987,Atlanta,GA,2018-02-21,1500,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-97.7436995,30.2711286,Austin,TX,2018-02-24,1500,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-95.3676974,29.7589382,Houston,TX,2018-02-16,1300,Racial Justice,Immigrant Rights,Rallying for DREAM Act
-84.2809332,30.4380832,Tallahassee,FL,2018-02-26,1200,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-97.7436995,30.2711286,Austin,TX,2018-02-11,1100,Women’s Rights,General Awareness,Protesting Doritos' new chips for women
-74.5240422,39.3898388,Pleasantville,NJ,2018-02-14,1100,Racial Justice,Anti-Racism,Rallying for racial equality
-71.8634062,42.3517586,Holden,MA,2018-02-25,1100,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-122.6741949,45.5202471,Portland,OR,2018-02-03,1000,Other,White Nationalism,"Rallying for freedom of speech, religion and President Donald Trump's agenda"
-8.4335089,40.2139237,Santa Cruz,CA,2018-02-03,1000,Environmental & Food Justice,Environmental Protection,Protesting offshore drilling
-97.5170536,35.4729886,Oklahoma City,OK,2018-02-07,1000,U.S. Politics,Health Care,Protesting abortion
-121.4943996,38.5815719,Sacramento,CA,2018-02-11,1000,Other,White Nationalism,White Nationalists Movement
-73.754968,42.6511674,Albany,NY,2018-02-14,1000,U.S. Politics,Education,Protesting budget cuts for students at private nonprofit colleges
-80.0830984,26.3586885,Boca Raton,FL,2018-02-21,1000,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-75.1635755,39.9524152,Philadelphia,PA,2018-02-24,1000,Workers & Labor Rights,General Awareness,Rallying for worker's rights
-123.137194429102,49.28388955,Malibu,CA,2018-02-25,1000,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-2.6642358,51.4325409,Providence,RI,2018-02-06,900,Workers & Labor Rights,Living Wages,Protesting stalled labor contract talks
-96.667821,40.8,Lincoln,NE,2018-02-14,750,Racial Justice,Anti-Racism,Protesting white nationalism
-71.1408776,42.65717,Andover,MA,2018-02-16,700,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-96.6154471,33.1976496,McKinney,TX,2018-02-21,670,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-119.8136744,39.52927,Reno,NV,2018-02-24,600,Housing Justice,Homelessness,Rallying for the homeless
-111.8904308,40.7670126,Salt Lake City,UT,2018-02-20,508,U.S. Politics,Health Care,Rallying for mental health and addiction recovery
-111.8904308,40.7670126,Los Angeles,CA,2018-02-19,500,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-80.3256056,27.4467056,Fort Pierce,FL,2018-02-21,500,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-80.6429695,28.0331886,Palm Bay,FL,2018-02-21,500,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-91.6704053,41.9758872,Cedar Rapids,IA,2018-02-23,500,U.S. Politics,Anti-Budget Cuts,Protesting GOP tax plan
-79.7919754,36.0726355,Greensboro,NC,2018-02-23,500,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-117.1627714,32.7174209,San Diego,CA,2018-02-23,500,Workers & Labor Rights,General Awareness,Labor protest
-82.4563972,27.9518491,Tampa,FL,2018-02-23,500,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-74.415984,40.4278841,East Brunswick,NJ,2018-02-25,500,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-122.3300624,47.6038321,Seattle,WA,2018-02-25,500,Racial Justice,Immigrant Rights,Rallying for easier access to green cards
-89.6443688,39.7989763,Springfield,IL,2018-02-28,500,U.S. Politics,Gun Control,Rallying for gun control
